Video ID,Author,Comment,Likes,Published At
HPDI11MoU1Y,@ncnccc,진짜 잘 나온 거 같다,29,2024-04-04 03:29
HPDI11MoU1Y,@tekjin8058,디자인 아주 멋집니다.,76,2024-04-03 23:25
HPDI11MoU1Y,@keemzuno,휠 겁내 이쁘네..,45,2024-04-03 23:12
HPDI11MoU1Y,@제루-v1v,1:11  주상절리인줄,10,2024-04-03 23:59
HPDI11MoU1Y,@ZshCenturion,"문제는 가격이겠네요....
보조금 맥스 가격선으로 책정하게 되면 다른 업체에 밀릴테니...
합리적인 가격 기대해 보겠습니다...",26,2024-04-04 00:17
HPDI11MoU1Y,@Kongmari,르노 이번 전기차는 진짜 가격이 흥행을 좌지우지할만큼 잘 나온 거 같다. 가격만 합리적이면 내 아이오닉을 팔고 가보고 싶네요..,50,2024-04-04 01:25
HPDI11MoU1Y,@konablend,휠이 예술이네,61,2024-04-03 23:17
HPDI11MoU1Y,@CuriousHY,"계기판/인포테인먼트가 정말 괜찮아졌군요, 가격만 괜찮다면 진지하게 고민해볼 의욕이 듭니다",27,2024-04-04 01:19
HPDI11MoU1Y,@pray4skylark,트렁크 입실이 신차 발표회 국룰이 됬네요,11,2024-04-03 23:19
HPDI11MoU1Y,@chlrkd0506,요즘처럼 디스플레이가 저렴한 시대에 이렇게 화려하게 해야지....... 아직도 디스플레이 사이즈로 급나누는 현대는 진짜 시대에 뒤떨어진 정책을 쓰는거다,184,2024-04-03 23:31
HPDI11MoU1Y,@호야무쓰,"와 진짜 ~ 이뿌당 
기다리던 전기차네요 ~
전기차 급히 살만한 사람들은 마니 삿다지만 ~
전 기변 준비중입니다 -
5~6천 주고 산 차를 걍 출퇴근 이동수단으로만 쓰기에는 넘 아깝다는 생각 ~ 어차피 감가되는뎅 ~
엔진없이 에어컨 틀고 오디오 틀고 잡네요 ~^
1호기를 기변하냐? 2호기를 기변하냐? 
고민되네요 ^^",4,2024-04-04 03:53
HPDI11MoU1Y,@RoseWoo,도색 칼라감이 너무 좋다..,28,2024-04-04 00:09
HPDI11MoU1Y,@dermut000,니로 코나의 약간 상위 호환 모델로 보이는데 문제는 국내 출시 가격이겠죠? 뭐든 좋고 저렴한 전기차 계속 나왔으면 좋겠네요,4,2024-04-04 00:02
HPDI11MoU1Y,@허용-g2j,앞좌석 뒤쪽은 수납보다는 핸드폰을 거치할 수 있게하고 거기에 무선충전 기능을 넣으면 앉아서 동영상도 보고 충전도 하고 좋을텐데...,1,2024-04-05 22:54
HPDI11MoU1Y,@교회옵빵,전기차 중에서 그릴 빠진 자리를 상당히 잘 디자인한거 같다,4,2024-04-04 06:20
HPDI11MoU1Y,@d_wk2120,물리버튼 있는게 아주 좋아,14,2024-04-04 00:20
HPDI11MoU1Y,@seolbong,07:22 아래 고무패턴들은 물리버튼 검지로 누를때 엄지 대는곳이 아닐까요?,0,2025-06-01 05:33
HPDI11MoU1Y,@chois7846,실내 진짜 이쁘네요 ㅠㅠ qm6 풀체도 잘 나오길,14,2024-04-04 04:41
HPDI11MoU1Y,@user-un7cer0a,디자인 너무 이쁜데요,12,2024-04-03 23:57
